Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Yield
90,42,43,20.879743576049805,82.00274658203125,6.50298547744751,202.93553161621094,Rice,7000
85,58,41,21.770462036132812,80.31964111328125,7.0380964279174805,226.65553283691406,Rice,5000
60,55,44,23.004459381103516,82.32076263427734,7.840207099914551,263.9642333984375,Rice,7000
74,35,40,26.49109649658203,80.15836334228516,6.980401039123535,242.86402893066406,Rice,7000
78,42,42,20.13017463684082,81.60487365722656,7.628472805023193,262.71734619140625,Rice,120000
69,37,42,23.058048248291016,83.3701171875,7.073453426361084,251.05499267578125,Rice,3500
69,55,38,22.708837509155273,82.63941192626953,5.7008056640625,271.3248596191406,Rice,7500
94,53,40,20.27774429321289,82.89408874511719,5.718626976013184,241.9741973876953,Rice,6500
89,54,38,24.515880584716797,83.53521728515625,6.685346603393555,230.4462432861328,Rice,10000
68,58,38,23.223974227905273,83.0332260131836,6.336253643035889,221.20919799804688,Rice,11000
91,53,40,26.52723503112793,81.41754150390625,5.386168003082275,264.6148681640625,Rice,9000
90,46,42,23.97898292541504,81.45061492919922,7.502833843231201,250.08323669433594,Rice,5600
78,58,44,26.800796508789062,80.88684844970703,5.108681678771973,284.43646240234375,Rice,6000
93,56,36,24.014976501464844,82.05686950683594,6.984353542327881,185.27734375,Rice,3000
94,50,37,25.665851593017578,80.66384887695312,6.948019981384277,209.58697509765625,Rice,3000
60,48,39,24.282094955444336,80.30025482177734,7.042299270629883,231.08633422851562,Rice,620
85,38,41,21.58711814880371,82.78836822509766,6.249050617218018,276.6552429199219,Rice,300
91,35,39,23.793920516967773,80.41818237304688,6.970859527587891,206.2611846923828,Rice,760
77,38,36,21.865251541137695,80.19229888916016,5.953933238983154,224.55502319335938,Rice,4600
88,35,40,23.579435348510742,83.58760070800781,5.853931903839111,291.2986755371094,Rice,1900
89,45,36,21.325040817260742,80.47476196289062,6.442475318908691,185.49746704101562,Rice,1950
76,40,43,25.157455444335938,83.11713409423828,5.070175647735596,231.3843231201172,Rice,1760
67,59,41,21.947668075561523,80.97383880615234,6.012632369995117,213.35609436035156,Rice,7000
83,41,43,21.052536010742188,82.67839813232422,6.2540283203125,233.10757446289062,Rice,2400
98,47,37,23.483814239501953,81.33264923095703,7.37548303604126,224.05812072753906,Rice,2800
66,53,41,25.07563591003418,80.52389526367188,7.778914928436279,257.0038757324219,Rice,6400
97,59,43,26.359272003173828,84.04403686523438,6.286499977111816,271.3586120605469,Rice,850
97,50,41,24.529226303100586,80.54498291015625,7.07096004486084,260.2633972167969,Rice,850
60,49,44,20.775760650634766,84.49774169921875,6.244841575622559,240.08106994628906,Rice,350
84,51,35,22.30157470703125,80.6441650390625,6.043304920196533,197.9791259765625,Rice,1050
73,57,41,21.4465389251709,84.94375610351562,5.824708938598633,272.20172119140625,Rice,1450
92,35,40,22.179319381713867,80.3312759399414,6.357389450073242,200.08827209472656,Rice,4100
85,37,39,24.5278377532959,82.73685455322266,6.364134788513184,224.67572021484375,Rice,1550
98,53,38,20.26707649230957,81.63895416259766,5.014507293701172,270.4417419433594,Rice,2900
88,54,44,25.735429763793945,83.88265991210938,6.149410724639893,233.13214111328125,Rice,2250
95,55,42,26.795339584350586,82.14808654785156,5.950660705566406,193.34739685058594,Rice,3600
99,57,35,26.75754165649414,81.17733764648438,5.960370063781738,272.2998962402344,Rice,950
95,39,36,23.863304138183594,83.15251159667969,5.561398506164551,285.2493591308594,Rice,650
60,43,44,21.019447326660156,82.95221710205078,7.416244983673096,298.40185546875,Rice,650
63,44,41,24.172988891601562,83.728759765625,5.583370208740234,257.03436279296875,Rice,850
62,42,36,22.78133773803711,82.06719207763672,6.4300103187561035,248.71832275390625,Rice,1150
64,45,43,25.62980079650879,83.5284194946289,5.534878253936768,209.9001922607422,Rice,4400
83,60,36,25.597049713134766,80.14509582519531,6.903985977172852,200.83489990234375,Rice,6400
82,40,40,23.83067512512207,84.8135986328125,6.271478652954102,298.56011962890625,Rice,2800
85,52,45,26.313554763793945,82.36698913574219,7.22428560256958,265.53558349609375,Rice,2370
91,35,38,24.897281646728516,80.52586364746094,6.134287357330322,183.6793212890625,Rice,2400
76,49,42,24.958778381347656,84.4796371459961,5.20637321472168,196.95599365234375,Rice,4500
74,39,38,23.241134643554688,84.5920181274414,7.782051086425781,233.04534912109375,Rice,2500
79,43,39,21.666282653808594,80.70960235595703,7.062778949737549,210.814208984375,Rice,2300
88,55,45,24.635448455810547,80.41362762451172,7.730367660522461,253.72027587890625,Rice,5000
60,36,43,23.43121910095215,83.06310272216797,5.286203861236572,219.9048309326172,Rice,6600
76,60,39,20.045413970947266,80.3477554321289,6.766240119934082,208.5810089111328,Rice,6200
93,56,42,23.857240676879883,82.2257308959961,7.382762432098389,195.09483337402344,Rice,1200
65,60,43,21.971994400024414,81.89918518066406,5.658169269561768,227.36370849609375,Rice,550
95,52,36,26.229169845581055,83.83625793457031,5.543360233306885,286.50836181640625,Rice,3200
75,38,39,23.446767807006836,84.79352569580078,6.215109825134277,283.933837890625,Rice,2800
74,54,38,25.655534744262695,83.47020721435547,7.120273113250732,217.3788604736328,Rice,5500
91,36,45,24.44345474243164,82.4543228149414,5.950647354125977,267.9761962890625,Rice,1300
71,46,40,20.280193328857422,82.12354278564453,7.236705303192139,191.9535675048828,Rice,500
99,55,35,21.723831176757812,80.2389907836914,6.501698017120361,277.9626159667969,Rice,1000
72,40,38,20.414470672607422,82.20802307128906,7.5924906730651855,245.151123046875,Rice,1900
83,58,45,25.755285263061523,83.51827239990234,5.875345706939697,245.6626739501953,Rice,2000
93,58,38,20.61521339416504,83.77345275878906,6.932400226593018,279.545166015625,Rice,4500
70,36,42,21.841068267822266,80.72886657714844,6.946209907531738,202.3838348388672,Rice,1600
